Date,HomeTeam,AwayTeam,FTR,Season,played,Time,HTREND,ATREND,H5HTREND,A5ATREND,HLM,ALM,ACUM,HCUM,AAG,HAG,AAGC,HAGC
2013-08-02 00:00:00,3,19,H,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-02 00:00:00,9,13,H,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-02 00:00:00,10,7,D,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-02 00:00:00,11,33,H,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-02 00:00:00,17,2,A,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-02 00:00:00,22,18,H,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-02 00:00:00,24,12,A,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-02 00:00:00,25,34,D,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-03 00:00:00,23,4,D,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-04 00:00:00,20,8,H,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-09 00:00:00,4,24,D,1314,1,0,0,121,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-09 00:00:00,12,22,H,1314,1,0,242,242,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-09 00:00:00,18,9,A,1314,1,0,121,242,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-09 00:00:00,19,11,A,1314,1,0,121,242,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-09 00:00:00,33,25,D,1314,1,0,121,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-10 00:00:00,2,10,H,1314,1,0,242,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-10 00:00:00,8,23,A,1314,1,0,121,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-10 00:00:00,13,20,D,1314,1,0,121,242,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-10 00:00:00,34,3,H,1314,1,0,0,242,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-12 00:00:00,7,17,H,1314,1,0,0,121,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-16 00:00:00,9,12,H,1314,1,0,323,323,242,242,3.0,3.0,3.0,3.0,1.5,1.5,1.0,1.5
2013-08-16 00:00:00,10,33,A,1314,1,0,122,41,0,121,1.0,0.0,0.0,1.0,0.5,1.5,1.0,0.5
2013-08-16 00:00:00,11,18,H,1314,1,0,323,162,242,121,3.0,0.0,0.0,3.0,0.0,1.0,0.5,0.0
