Date,HomeTeam,AwayTeam,FTR,Season,played,BTTS,Time,HTREND,HTREND2,HTREND3,HTREND4,HTREND5,ATREND,ATREND2,ATREND3,ATREND4,ATREND5,HPOINT,APOINT,HLM,ALM,HLM_1,ALM_1,AAG_1,HAG_1,HSc_1,ASc_1,HLM_2,ALM_2,AAG_2,HAG_2,HSc_2,ASc_2,HLM_3,ALM_3,AAG_3,HAG_3,HSc_3,ASc_3,HLM_4,ALM_4,AAG_4,HAG_4,HSc_4,ASc_4,HLM_5,ALM_5,AAG_5,HAG_5,HSc_5,ASc_5,ACUM,HCUM,AAG,HAG,AAGC,HAGC,UO25
2013-11-01,5,36,H,1314,1,1.0,0,3.0,6.0,6.0,9.0,10.0,1.0,2.0,3.0,6.0,7.0,13.0,6.0,3,0,3.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,4.0,5.0,1.0,1.0,3.0,3.0,1.0,6.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,2.0,2.0,1.0,1.0,7.0,15.0,3.0,1.0,1.0,3.0,1
2013-11-02,22,33,A,1314,1,0.0,0,0.0,3.0,4.0,7.0,8.0,0.0,3.0,6.0,7.0,7.0,3.0,7.0,0,3,3.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,6.0,1.0,0.0,7.0,12.0,3.0,1.0,1.0,3.0,0
2013-11-08,21,7,D,1314,1,0.0,0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,3.0,6.0,6.0,3.0,4.0,1,1,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,4.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,1.0,3.0,13.0,0.0,1.0,1.0,0.0,0
2013-11-09,4,2,H,1314,1,0.0,0,3.0,6.0,9.0,10.0,13.0,3.0,3.0,3.0,3.0,4.0,14.0,10.0,3,0,3.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,1.0,4.0,1.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,3.0,18.0,1.0,3.0,3.0,1.0,1
2013-11-09,23,22,A,1314,1,1.0,0,0.0,3.0,3.0,4.0,5.0,0.0,0.0,3.0,4.0,7.0,7.0,12.0,0,3,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,3.0,6.0,2.0,1.0,1.0,2.0,1
2013-11-09,3,20,H,1314,1,1.0,0,0.0,3.0,6.0,7.0,10.0,0.0,3.0,4.0,7.0,8.0,12.0,5.0,3,0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0,3.0,1.0,1.0,3.0,0.0,0.0,4.0,1.0,0.0,8.0,16.0,3.0,2.0,2.0,3.0,1
2013-11-09,6,29,H,1314,1,1.0,0,3.0,6.0,6.0,9.0,10.0,0.0,1.0,2.0,2.0,3.0,4.0,3.0,3,0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,4.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,5.0,15.0,1.0,4.0,4.0,1.0,1
2013-11-09,33,39,H,1314,1,1.0,0,3.0,3.0,6.0,9.0,10.0,3.0,3.0,4.0,5.0,6.0,10.0,8.0,3,0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,7.0,7.0,0.0,1.0,1.0,0.0,1
2013-11-09,40,5,H,1314,1,1.0,0,3.0,6.0,9.0,9.0,9.0,3.0,6.0,9.0,9.0,12.0,6.0,15.0,3,0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,4.0,4.0,1.0,1.0,10.0,12.0,3.0,3.0,3.0,3.0,1
2013-11-10,17,36,A,1314,1,1.0,0,3.0,3.0,4.0,5.0,5.0,0.0,1.0,2.0,3.0,6.0,5.0,6.0,0,3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,3.0,2.0,0.0,0.5,1.0,1
2013-11-10,27,13,H,1314,1,0.0,0,0.0,3.0,3.0,4.0,4.0,0.0,0.0,1.0,2.0,3.0,3.0,5.0,3,0,3.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,8.0,10.0,1.0,2.0,2.0,1.0,0
2013-11-22,36,6,A,1314,1,0.0,0,3.0,3.0,4.0,5.0,6.0,3.0,6.0,9.0,9.0,12.0,10.0,18.0,0,3,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,6.0,2.0,1.0,1.0,2.0,0
