Date,HomeTeam,AwayTeam,FTR,Season,played,Time,HTREND,ATREND,H5HTREND,A5ATREND,HLM,ALM,ACUM,HCUM,AAG,HAG,AAGC,HAGC
2013-07-19 00:00:00,29,17,A,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-19 00:00:00,48,0,D,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-19 00:00:00,50,37,H,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-20 00:00:00,15,18,D,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-20 00:00:00,42,30,A,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-21 00:00:00,20,31,A,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-21 00:00:00,23,7,H,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-21 00:00:00,54,8,A,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-22 00:00:00,19,13,H,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-26 00:00:00,0,23,A,1314,1,0,0,242,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-26 00:00:00,7,54,D,1314,1,0,121,121,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-26 00:00:00,30,29,H,1314,1,0,242,121,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-27 00:00:00,17,48,H,1314,1,0,242,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-27 00:00:00,31,50,D,1314,1,0,242,242,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-28 00:00:00,13,42,H,1314,1,0,121,121,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-28 00:00:00,18,19,D,1314,1,0,0,242,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-28 00:00:00,37,20,H,1314,1,0,121,121,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-07-29 00:00:00,8,15,D,1314,1,0,242,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-09 00:00:00,15,54,A,1314,1,0,1,41,0,0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5
2013-08-09 00:00:00,19,37,A,1314,1,0,81,283,242,121,3.0,0.0,0.0,3.0,0.0,0.5,0.5,0.0
2013-08-09 00:00:00,20,8,H,1314,1,0,162,81,121,242,0.0,3.0,3.0,0.0,1.0,0.0,0.5,1.0
2013-08-10 00:00:00,29,31,A,1314,1,0,162,81,121,242,0.0,3.0,3.0,0.0,0.5,0.5,0.0,0.5
2013-08-10 00:00:00,42,18,D,1314,1,0,162,1,121,0,0.0,1.0,1.0,0.0,0.5,0.0,0.5,0.5
2013-08-11 00:00:00,17,0,A,1314,1,0,323,122,242,0,3.0,1.0,1.0,3.0,0.0,0.5,0.0,0.0
2013-08-11 00:00:00,48,13,D,1314,1,0,122,283,0,121,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0
2013-08-11 00:00:00,50,7,A,1314,1,0,81,41,242,121,3.0,0.0,0.0,3.0,0.0,0.5,1.0,0.0
2013-08-12 00:00:00,23,30,H,1314,1,0,323,323,242,242,3.0,3.0,3.0,3.0,0.5,1.0,0.0,0.5
2013-08-16 00:00:00,7,42,D,1314,1,0,257,55,0,121,1.0,0.0,0.0,1.0,0.0,0.5,2.0,0.0
2013-08-16 00:00:00,8,50,D,1314,1,0,149,149,0,0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0
2013-08-16 00:00:00,31,23,A,1314,1,0,270,350,0,242,1.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0
2013-08-17 00:00:00,18,48,H,1314,1,0,2,42,0,121,1.0,0.0,0.0,1.0,0.0,0.5,0.5,0.0
2013-08-17 00:00:00,30,17,H,1314,1,0,229,229,242,242,3.0,3.0,3.0,3.0,1.0,1.5,0.5,1.0
2013-08-18 00:00:00,13,0,H,1314,1,0,95,284,242,243,3.0,3.0,4.0,3.0,0.3333333333333333,2.0,0.0,0.5
2013-08-18 00:00:00,15,20,A,1314,1,0,123,297,122,121,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,1.0,0.6666666666666666
2013-08-18 00:00:00,37,29,H,1314,1,0,337,176,242,121,3.0,0.0,0.0,3.0,0.5,1.0,1.5,0.5
2013-08-19 00:00:00,54,19,H,1314,1,0,257,149,121,0,0.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5
2013-08-23 00:00:00,17,13,H,1314,1,0,198,275,202,41,0.0,1.0,1.0,3.0,0.6666666666666666,0.3333333333333333,1.0,0.6666666666666666
2013-08-23 00:00:00,29,7,H,1314,1,0,181,87,162,283,0.0,3.0,3.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666
2013-08-23 00:00:00,48,31,D,1314,1,0,137,212,1,323,1.0,3.0,6.0,2.0,1.0,0.6666666666666666,0.0,0.6666666666666666
