Date,HomeTeam,AwayTeam,FTR,Season,played,Time,HTREND,ATREND,H5HTREND,A5ATREND,HLM,ALM,ACUM,HCUM,AAG,HAG,AAGC,HAGC
2013-08-10 00:00:00,0,14,H,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-10 00:00:00,4,8,D,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-10 00:00:00,15,3,H,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-10 00:00:00,19,5,H,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-10 00:00:00,20,9,A,1314,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-17 00:00:00,3,20,A,1314,1,0,121,121,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-17 00:00:00,5,0,H,1314,1,0,121,242,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-17 00:00:00,8,15,H,1314,1,0,0,242,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-17 00:00:00,9,4,H,1314,1,0,242,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-17 00:00:00,14,19,D,1314,1,0,121,242,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-08-24 00:00:00,0,3,H,1314,1,0,202,162,242,121,3.0,0.0,0.0,3.0,0.0,0.5,1.0,0.0
2013-08-24 00:00:00,4,15,H,1314,1,0,122,202,0,121,1.0,0.0,0.0,1.0,0.5,0.5,1.5,0.5
2013-08-24 00:00:00,9,19,H,1314,1,0,323,81,242,0,3.0,1.0,1.0,3.0,1.5,2.0,1.5,1.5
