Date,Time,HomeTeam,AwayTeam
2019-01-12 00:00:00,15:00,Bury,MK Dons
2019-01-12 00:00:00,15:00,Cheltenham,Tranmere
2019-01-12 00:00:00,15:00,Crewe,Newport Co
2019-01-12 00:00:00,15:00,Exeter,Morecambe
2019-01-12 00:00:00,15:00,Grimsby,Macclesfield
2019-01-12 00:00:00,15:00,Mansfield,Yeovil
2019-01-12 00:00:00,15:00,Northampton,Carlisle
2019-01-12 00:00:00,15:00,Notts Co,Cambridge Utd
2019-01-12 00:00:00,15:00,Oldham,Forest Green
2019-01-12 00:00:00,15:00,Port Vale,Colchester
2019-01-12 00:00:00,15:00,Stevenage,Crawley
2019-01-12 00:00:00,15:00,Swindon,Lincoln
2019-01-15 00:00:00,19:45,Mansfield,Crawley
2019-01-19 00:00:00,13:00,Lincoln,Grimsby
2019-01-19 00:00:00,15:00,Cambridge Utd,Northampton
2019-01-19 00:00:00,15:00,Carlisle,Cheltenham
2019-01-19 00:00:00,15:00,Colchester,Mansfield
2019-01-19 00:00:00,15:00,Crawley,Port Vale
2019-01-19 00:00:00,15:00,Forest Green,Bury
2019-01-19 00:00:00,15:00,Macclesfield,Oldham
2019-01-19 00:00:00,15:00,MK Dons,Crewe
2019-01-19 00:00:00,15:00,Morecambe,Stevenage
2019-01-19 00:00:00,15:00,Newport Co,Exeter
2019-01-19 00:00:00,15:00,Tranmere,Swindon
2019-01-19 00:00:00,15:00,Yeovil,Notts Co
2019-01-22 00:00:00,19:45,Forest Green,Grimsby
2019-01-22 00:00:00,19:45,Yeovil,Lincoln
2019-01-26 00:00:00,14:00,Northampton,Morecambe
2019-01-26 00:00:00,15:00,Cheltenham,Macclesfield
2019-01-26 00:00:00,15:00,Crewe,Colchester
2019-01-26 00:00:00,15:00,Exeter,Cambridge Utd
2019-01-26 00:00:00,15:00,Grimsby,MK Dons
2019-01-26 00:00:00,15:00,Mansfield,Tranmere
2019-01-26 00:00:00,15:00,Notts Co,Newport Co
2019-01-26 00:00:00,15:00,Oldham,Yeovil
2019-01-26 00:00:00,15:00,Port Vale,Carlisle
2019-01-26 00:00:00,15:00,Stevenage,Forest Green
2019-01-26 00:00:00,15:00,Swindon,Crawley
2019-01-26 00:00:00,17:30,Bury,Lincoln
2019-01-29 00:00:00,19:45,Forest Green,Mansfield
2019-01-29 00:00:00,19:45,MK Dons,Oldham
2019-02-02 00:00:00,15:00,Bury,Crawley
2019-02-02 00:00:00,15:00,Cheltenham,Cambridge Utd
2019-02-02 00:00:00,15:00,Crewe,Carlisle
2019-02-02 00:00:00,15:00,Exeter,MK Dons
2019-02-02 00:00:00,15:00,Grimsby,Newport Co
2019-02-02 00:00:00,15:00,Mansfield,Macclesfield
2019-02-02 00:00:00,15:00,Northampton,Colchester
2019-02-02 00:00:00,15:00,Notts Co,Lincoln
2019-02-02 00:00:00,15:00,Oldham,Morecambe
2019-02-02 00:00:00,15:00,Port Vale,Tranmere
2019-02-02 00:00:00,15:00,Stevenage,Yeovil
2019-02-02 00:00:00,15:00,Swindon,Forest Green
2019-02-05 00:00:00,19:45,Cheltenham,Yeovil
2019-02-09 00:00:00,15:00,Cambridge Utd,Port Vale
2019-02-09 00:00:00,15:00,Carlisle,Exeter
2019-02-09 00:00:00,15:00,Colchester,Cheltenham
2019-02-09 00:00:00,15:00,Crawley,Oldham
2019-02-09 00:00:00,15:00,Forest Green,Notts Co
2019-02-09 00:00:00,15:00,Lincoln,Northampton
2019-02-09 00:00:00,15:00,Macclesfield,Crewe
2019-02-09 00:00:00,15:00,MK Dons,Swindon
2019-02-09 00:00:00,15:00,Morecambe,Bury
2019-02-09 00:00:00,15:00,Newport Co,Mansfield
2019-02-09 00:00:00,15:00,Tranmere,Stevenage
2019-02-09 00:00:00,15:00,Yeovil,Grimsby
2019-02-16 00:00:00,13:00,Notts Co,Mansfield
2019-02-16 00:00:00,15:00,Cambridge Utd,Tranmere
2019-02-16 00:00:00,15:00,Carlisle,MK Dons
2019-02-16 00:00:00,15:00,Exeter,Bury
2019-02-16 00:00:00,15:00,Forest Green,Yeovil
2019-02-16 00:00:00,15:00,Grimsby,Cheltenham
2019-02-16 00:00:00,15:00,Lincoln,Stevenage
2019-02-16 00:00:00,15:00,Macclesfield,Colchester
2019-02-16 00:00:00,15:00,Newport Co,Swindon
2019-02-16 00:00:00,15:00,Northampton,Crawley
2019-02-16 00:00:00,15:00,Oldham,Crewe
2019-02-16 00:00:00,15:00,Port Vale,Morecambe
2019-02-23 00:00:00,15:00,Bury,Oldham
2019-02-23 00:00:00,15:00,Cheltenham,Port Vale
2019-02-23 00:00:00,15:00,Colchester,Carlisle
2019-02-23 00:00:00,15:00,Crawley,Macclesfield
2019-02-23 00:00:00,15:00,Crewe,Exeter
2019-02-23 00:00:00,15:00,Mansfield,Forest Green
2019-02-23 00:00:00,15:00,MK Dons,Newport Co
2019-02-23 00:00:00,15:00,Morecambe,Lincoln
2019-02-23 00:00:00,15:00,Stevenage,Northampton
2019-02-23 00:00:00,15:00,Swindon,Grimsby
2019-02-23 00:00:00,15:00,Tranmere,Notts Co
2019-02-23 00:00:00,15:00,Yeovil,Cambridge Utd
2019-03-02 00:00:00,15:00,Bury,Macclesfield
2019-03-02 00:00:00,15:00,Crewe,Northampton
2019-03-02 00:00:00,15:00,Exeter,Tranmere
2019-03-02 00:00:00,15:00,Forest Green,Lincoln
2019-03-02 00:00:00,15:00,Grimsby,Cambridge Utd
2019-03-02 00:00:00,15:00,Mansfield,Cheltenham
2019-03-02 00:00:00,15:00,MK Dons,Crawley
2019-03-02 00:00:00,15:00,Newport Co,Carlisle
2019-03-02 00:00:00,15:00,Notts Co,Port Vale
2019-03-02 00:00:00,15:00,Oldham,Stevenage
2019-03-02 00:00:00,15:00,Swindon,Colchester
2019-03-02 00:00:00,15:00,Yeovil,Morecambe
2019-03-05 00:00:00,19:45,Cheltenham,Bury
2019-03-08 00:00:00,19:45,Lincoln,Yeovil
2019-03-08 00:00:00,19:45,Tranmere,Crewe
