Date,Time,HomeTeam,AwayTeam
2018-09-14,19:00,AC Ajaccio,Paris FC
2018-09-14,19:00,Brest,GFC Ajaccio
2018-09-14,19:00,Clermont,Auxerre
2018-09-14,19:00,Grenoble,Valenciennes
2018-09-14,19:00,Nancy,Le Havre
2018-09-14,19:00,Orleans,Chateauroux
2018-09-14,19:00,Red Star,Lorient
2018-09-14,19:00,Troyes,Niort
2018-09-15,14:00,Lens,Sochaux
2018-09-17,19:45,Beziers,Metz
2018-09-21,19:00,Auxerre,AC Ajaccio
2018-09-21,19:00,Chateauroux,Beziers
2018-09-21,19:00,GFC Ajaccio,Nancy
2018-09-21,19:00,Grenoble,Brest
2018-09-21,19:00,Le Havre,Troyes
2018-09-21,19:00,Lorient,Clermont
2018-09-21,19:00,Sochaux,Orleans
2018-09-21,19:00,Valenciennes,Red Star
2018-09-22,14:00,Paris FC,Metz
2018-09-24,19:45,Niort,Lens
2018-09-28,19:00,AC Ajaccio,Valenciennes
2018-09-28,19:00,Beziers,Niort
2018-09-28,19:00,Brest,Chateauroux
2018-09-28,19:00,Clermont,GFC Ajaccio
2018-09-28,19:00,Lens,Paris FC
2018-09-28,19:00,Nancy,Sochaux
2018-09-28,19:00,Orleans,Lorient
2018-09-28,19:00,Red Star,Grenoble
2018-09-29,14:00,Metz,Le Havre
2018-10-01,19:45,Troyes,Auxerre
2018-10-02,18:00,Beziers,Lens
2018-10-05,19:00,Chateauroux,Troyes
2018-10-05,19:00,GFC Ajaccio,Orleans
2018-10-05,19:00,Grenoble,Clermont
2018-10-05,19:00,Le Havre,Beziers
2018-10-05,19:00,Lorient,Nancy
2018-10-05,19:00,Niort,Paris FC
2018-10-05,19:00,Red Star,AC Ajaccio
2018-10-05,19:00,Valenciennes,Brest
2018-10-06,14:00,Auxerre,Lens
2018-10-08,19:45,Sochaux,Metz
2018-10-19,19:00,AC Ajaccio,Le Havre
2018-10-19,19:00,Beziers,Auxerre
2018-10-19,19:00,Brest,Lorient
2018-10-19,19:00,Clermont,Red Star
2018-10-19,19:00,Lens,GFC Ajaccio
2018-10-19,19:00,Metz,Niort
2018-10-19,19:00,Nancy,Grenoble
2018-10-19,19:00,Orleans,Valenciennes
2018-10-19,19:00,Paris FC,Chateauroux
2018-10-19,19:00,Troyes,Sochaux
2018-10-26,19:00,Auxerre,Paris FC
2018-10-26,19:00,Chateauroux,AC Ajaccio
2018-10-26,19:00,Clermont,Brest
2018-10-26,19:00,GFC Ajaccio,Beziers
2018-10-26,19:00,Grenoble,Troyes
2018-10-26,19:00,Le Havre,Lens
2018-10-26,19:00,Lorient,Metz
2018-10-26,19:00,Red Star,Orleans
2018-10-26,19:00,Sochaux,Niort
2018-10-26,19:00,Valenciennes,Nancy
2018-11-02,19:00,AC Ajaccio,GFC Ajaccio
2018-11-02,19:00,Beziers,Lorient
2018-11-02,19:00,Brest,Red Star
2018-11-02,19:00,Lens,Chateauroux
2018-11-02,19:00,Metz,Auxerre
2018-11-02,19:00,Nancy,Clermont
2018-11-02,19:00,Niort,Le Havre
2018-11-02,19:00,Orleans,Grenoble
2018-11-02,19:00,Paris FC,Sochaux
2018-11-02,19:00,Troyes,Valenciennes
2018-11-09,19:00,Auxerre,Niort
2018-11-09,19:00,Brest,Nancy
2018-11-09,19:00,Chateauroux,Metz
2018-11-09,19:00,Clermont,Orleans
2018-11-09,19:00,GFC Ajaccio,Troyes
2018-11-09,19:00,Grenoble,AC Ajaccio
2018-11-09,19:00,Le Havre,Sochaux
2018-11-09,19:00,Lorient,Paris FC
2018-11-09,19:00,Red Star,Beziers
2018-11-09,19:00,Valenciennes,Lens
2018-11-23,19:00,AC Ajaccio,Clermont
2018-11-23,19:00,Beziers,Valenciennes
2018-11-23,19:00,Lens,Grenoble
2018-11-23,19:00,Metz,GFC Ajaccio
2018-11-23,19:00,Nancy,Red Star
2018-11-23,19:00,Niort,Chateauroux
2018-11-23,19:00,Orleans,Brest
2018-11-23,19:00,Paris FC,Le Havre
2018-11-23,19:00,Sochaux,Auxerre
2018-11-23,19:00,Troyes,Lorient
2018-11-30,19:00,Brest,AC Ajaccio
2018-11-30,19:00,Chateauroux,Sochaux
2018-11-30,19:00,Clermont,Beziers
2018-11-30,19:00,GFC Ajaccio,Niort
2018-11-30,19:00,Grenoble,Metz
2018-11-30,19:00,Le Havre,Auxerre
2018-11-30,19:00,Lorient,Lens
2018-11-30,19:00,Orleans,Nancy
2018-11-30,19:00,Red Star,Troyes
2018-11-30,19:00,Valenciennes,Paris FC
2018-12-04,19:00,AC Ajaccio,Nancy
2018-12-04,19:00,Auxerre,Lorient
2018-12-04,19:00,Beziers,Grenoble
2018-12-04,19:00,Le Havre,Chateauroux
2018-12-04,19:00,Lens,Brest
2018-12-04,19:00,Metz,Red Star
2018-12-04,19:00,Niort,Valenciennes
2018-12-04,19:00,Paris FC,Clermont
2018-12-04,19:00,Sochaux,GFC Ajaccio
2018-12-04,19:00,Troyes,Orleans
