Date,Time,HomeTeam,AwayTeam
2019-08-09 00:00:00,19:45,Monaco,Olympique Lyonnais
2019-08-10 00:00:00,16:30,Olympique Marseille,Reims
2019-08-10 00:00:00,19:00,Angers SCO,Bordeaux
2019-08-10 00:00:00,19:00,Brest,Toulouse
2019-08-10 00:00:00,19:00,Dijon,Saint-Étienne
2019-08-10 00:00:00,19:00,Montpellier,Rennes
2019-08-10 00:00:00,19:00,Nice,Amiens SC
2019-08-11 00:00:00,14:00,Lille,Nantes
2019-08-11 00:00:00,16:00,Strasbourg,Metz
2019-08-11 00:00:00,20:00,Paris SG,Nimes
2019-08-17 00:00:00,19:00,Amiens SC,Lille
2019-08-17 00:00:00,19:00,Bordeaux,Montpellier
2019-08-17 00:00:00,19:00,Olympique Lyonnais,Angers SCO
2019-08-17 00:00:00,19:00,Metz,Monaco
2019-08-17 00:00:00,19:00,Nantes,Olympique Marseille
2019-08-17 00:00:00,19:00,Nimes,Nice
2019-08-17 00:00:00,19:00,Reims,Strasbourg
2019-08-17 00:00:00,19:00,Rennes,Paris SG
2019-08-17 00:00:00,19:00,Saint-Étienne,Brest
2019-08-17 00:00:00,19:00,Toulouse,Dijon
2019-08-24 00:00:00,19:00,Amiens SC,Nantes
2019-08-24 00:00:00,19:00,Angers SCO,Metz
2019-08-24 00:00:00,19:00,Brest,Reims
2019-08-24 00:00:00,19:00,Dijon,Bordeaux
2019-08-24 00:00:00,19:00,Lille,Saint-Étienne
2019-08-24 00:00:00,19:00,Monaco,Nimes
2019-08-24 00:00:00,19:00,Montpellier,Olympique Lyonnais
2019-08-24 00:00:00,19:00,Nice,Olympique Marseille
2019-08-24 00:00:00,19:00,Paris SG,Toulouse
2019-08-24 00:00:00,19:00,Strasbourg,Rennes
2019-08-31 00:00:00,19:00,Angers SCO,Dijon
2019-08-31 00:00:00,19:00,Olympique Lyonnais,Bordeaux
2019-08-31 00:00:00,19:00,Metz,Paris SG
2019-08-31 00:00:00,19:00,Nantes,Montpellier
2019-08-31 00:00:00,19:00,Nimes,Brest
2019-08-31 00:00:00,19:00,Reims,Lille
2019-08-31 00:00:00,19:00,Rennes,Nice
2019-08-31 00:00:00,19:00,Strasbourg,Monaco
2019-08-31 00:00:00,19:00,Toulouse,Amiens SC
2019-09-01 00:00:00,20:00,Olympique Marseille,Saint-Étienne
2019-09-14 00:00:00,19:00,Amiens SC,Olympique Lyonnais
2019-09-14 00:00:00,19:00,Bordeaux,Metz
2019-09-14 00:00:00,19:00,Brest,Rennes
2019-09-14 00:00:00,19:00,Dijon,Nimes
2019-09-14 00:00:00,19:00,Lille,Angers SCO
2019-09-14 00:00:00,19:00,Monaco,Olympique Marseille
2019-09-14 00:00:00,19:00,Montpellier,Nice
2019-09-14 00:00:00,19:00,Nantes,Reims
2019-09-14 00:00:00,19:00,Paris SG,Strasbourg
2019-09-14 00:00:00,19:00,Saint-Étienne,Toulouse
2019-09-21 00:00:00,19:00,Angers SCO,Saint-Étienne
2019-09-21 00:00:00,19:00,Bordeaux,Brest
2019-09-21 00:00:00,19:00,Olympique Marseille,Montpellier
2019-09-21 00:00:00,19:00,Metz,Amiens SC
2019-09-21 00:00:00,19:00,Nice,Dijon
2019-09-21 00:00:00,19:00,Nimes,Toulouse
2019-09-21 00:00:00,19:00,Reims,Monaco
2019-09-21 00:00:00,19:00,Rennes,Lille
2019-09-21 00:00:00,19:00,Strasbourg,Nantes
2019-09-22 00:00:00,20:00,Olympique Lyonnais,Paris SG
2019-09-25 00:00:00,19:00,Amiens SC,Bordeaux
2019-09-25 00:00:00,19:00,Brest,Olympique Lyonnais
2019-09-25 00:00:00,19:00,Dijon,Olympique Marseille
2019-09-25 00:00:00,19:00,Lille,Strasbourg
2019-09-25 00:00:00,19:00,Monaco,Nice
2019-09-25 00:00:00,19:00,Montpellier,Nimes
2019-09-25 00:00:00,19:00,Nantes,Rennes
2019-09-25 00:00:00,19:00,Paris SG,Reims
2019-09-25 00:00:00,19:00,Saint-Étienne,Metz
2019-09-25 00:00:00,19:00,Toulouse,Angers SCO
2019-09-28 00:00:00,19:00,Angers SCO,Amiens SC
2019-09-28 00:00:00,19:00,Bordeaux,Paris SG
2019-09-28 00:00:00,19:00,Olympique Lyonnais,Nantes
2019-09-28 00:00:00,19:00,Olympique Marseille,Rennes
2019-09-28 00:00:00,19:00,Metz,Toulouse
2019-09-28 00:00:00,19:00,Monaco,Brest
2019-09-28 00:00:00,19:00,Nice,Lille
2019-09-28 00:00:00,19:00,Nimes,Saint-Étienne
2019-09-28 00:00:00,19:00,Reims,Dijon
2019-09-28 00:00:00,19:00,Strasbourg,Montpellier
2019-10-05 00:00:00,19:00,Amiens SC,Olympique Marseille
2019-10-05 00:00:00,19:00,Brest,Metz
2019-10-05 00:00:00,19:00,Dijon,Strasbourg
2019-10-05 00:00:00,19:00,Lille,Nimes
2019-10-05 00:00:00,19:00,Montpellier,Monaco
2019-10-05 00:00:00,19:00,Nantes,Nice
2019-10-05 00:00:00,19:00,Paris SG,Angers SCO
2019-10-05 00:00:00,19:00,Rennes,Reims
2019-10-05 00:00:00,19:00,Toulouse,Bordeaux
2019-10-06 00:00:00,20:00,Saint-Étienne,Olympique Lyonnais
2019-10-19 00:00:00,19:00,Angers SCO,Brest
2019-10-19 00:00:00,19:00,Bordeaux,Saint-Étienne
2019-10-19 00:00:00,19:00,Olympique Lyonnais,Dijon
2019-10-19 00:00:00,19:00,Olympique Marseille,Strasbourg
2019-10-19 00:00:00,19:00,Metz,Nantes
2019-10-19 00:00:00,19:00,Monaco,Rennes
2019-10-19 00:00:00,19:00,Nice,Paris SG
2019-10-19 00:00:00,19:00,Nimes,Amiens SC
2019-10-19 00:00:00,19:00,Reims,Montpellier
2019-10-19 00:00:00,19:00,Toulouse,Lille
2019-10-26 00:00:00,19:00,Brest,Dijon
2019-10-26 00:00:00,19:00,Lille,Bordeaux
2019-10-26 00:00:00,19:00,Olympique Lyonnais,Metz
2019-10-26 00:00:00,19:00,Montpellier,Angers SCO
2019-10-26 00:00:00,19:00,Nantes,Monaco
2019-10-26 00:00:00,19:00,Reims,Nimes
2019-10-26 00:00:00,19:00,Rennes,Toulouse
2019-10-26 00:00:00,19:00,Saint-Étienne,Amiens SC
2019-10-26 00:00:00,19:00,Strasbourg,Nice
2019-10-27 00:00:00,20:00,Paris SG,Olympique Marseille
2019-11-02 00:00:00,19:00,Amiens SC,Brest
2019-11-02 00:00:00,19:00,Angers SCO,Strasbourg
2019-11-02 00:00:00,19:00,Bordeaux,Nantes
2019-11-02 00:00:00,19:00,Dijon,Paris SG
2019-11-02 00:00:00,19:00,Olympique Marseille,Lille
2019-11-02 00:00:00,19:00,Metz,Montpellier
2019-11-02 00:00:00,19:00,Nice,Reims
2019-11-02 00:00:00,19:00,Nimes,Rennes
2019-11-02 00:00:00,19:00,Saint-Étienne,Monaco
2019-11-02 00:00:00,19:00,Toulouse,Olympique Lyonnais
