Date,Time,HomeTeam,AwayTeam
2019-08-16 00:00:00,19:30,Bayern München,Hertha Berlin
2019-08-17 00:00:00,14:30,Bayer Leverkusen,Paderborn
2019-08-17 00:00:00,14:30,Borussia Dortmund,Augsburg
2019-08-17 00:00:00,14:30,Freiburg,Mainz 05
2019-08-17 00:00:00,14:30,Werder Bremen,Dusseldorf
2019-08-17 00:00:00,14:30,Wolfsburg,FC Köln
2019-08-17 00:00:00,17:30,Borussia M'gladbach,Schalke 04
2019-08-18 00:00:00,14:30,Ein Frankfurt,Hoffenheim
2019-08-18 00:00:00,17:00,Union Berlin,RB Leipzig
2019-08-23 00:00:00,19:30,FC Köln,Borussia Dortmund
2019-08-24 00:00:00,14:30,Augsburg,Union Berlin
2019-08-24 00:00:00,14:30,Dusseldorf,Bayer Leverkusen
2019-08-24 00:00:00,14:30,Hoffenheim,Werder Bremen
2019-08-24 00:00:00,14:30,Mainz 05,Borussia M'gladbach
2019-08-24 00:00:00,14:30,Paderborn,Freiburg
2019-08-24 00:00:00,17:30,Schalke 04,Bayern München
2019-08-25 00:00:00,14:30,RB Leipzig,Ein Frankfurt
2019-08-25 00:00:00,17:00,Hertha Berlin,Wolfsburg
2019-08-30 00:00:00,19:30,Borussia M'gladbach,RB Leipzig
2019-08-31 00:00:00,14:30,Bayer Leverkusen,Hoffenheim
2019-08-31 00:00:00,14:30,Bayern München,Mainz 05
2019-08-31 00:00:00,14:30,Freiburg,FC Köln
2019-08-31 00:00:00,14:30,Schalke 04,Hertha Berlin
2019-08-31 00:00:00,14:30,Wolfsburg,Paderborn
2019-08-31 00:00:00,17:30,Union Berlin,Borussia Dortmund
2019-09-01 00:00:00,14:30,Werder Bremen,Augsburg
2019-09-01 00:00:00,17:00,Ein Frankfurt,Dusseldorf
2019-09-13 00:00:00,19:30,Dusseldorf,Wolfsburg
2019-09-14 00:00:00,14:30,Augsburg,Ein Frankfurt
2019-09-14 00:00:00,14:30,Borussia Dortmund,Bayer Leverkusen
2019-09-14 00:00:00,14:30,FC Köln,Borussia M'gladbach
2019-09-14 00:00:00,14:30,Mainz 05,Hertha Berlin
2019-09-14 00:00:00,14:30,Union Berlin,Werder Bremen
2019-09-14 00:00:00,17:30,RB Leipzig,Bayern München
2019-09-15 00:00:00,14:30,Hoffenheim,Freiburg
2019-09-15 00:00:00,17:00,Paderborn,Schalke 04
2019-09-20 00:00:00,19:30,Schalke 04,Mainz 05
2019-09-21 00:00:00,14:30,Bayer Leverkusen,Union Berlin
2019-09-21 00:00:00,14:30,Bayern München,FC Köln
2019-09-21 00:00:00,14:30,Freiburg,Augsburg
2019-09-21 00:00:00,14:30,Hertha Berlin,Paderborn
2019-09-21 00:00:00,17:30,Werder Bremen,RB Leipzig
