Date,Time,HomeTeam,AwayTeam
2018-10-20,14:00,AS Roma,Spal
2018-10-20,17:00,Juventus,Genoa
2018-10-20,19:30,Udinese,Napoli
2018-10-21,11:30,Frosinone,Empoli
2018-10-21,14:00,Bologna,Torino
2018-10-21,14:00,Chievo,Atalanta
2018-10-21,14:00,Parma,Lazio
2018-10-21,17:00,Fiorentina,Cagliari
2018-10-21,19:30,Inter,AC Milan
2018-10-22,19:30,Sampdoria,Sassuolo
2018-10-27,14:00,Atalanta,Parma
2018-10-27,17:00,Empoli,Juventus
2018-10-27,19:30,Torino,Fiorentina
2018-10-28,11:30,Sassuolo,Bologna
2018-10-28,14:00,Cagliari,Chievo
2018-10-28,14:00,Genoa,Udinese
2018-10-28,14:00,Spal,Frosinone
2018-10-28,17:00,AC Milan,Sampdoria
2018-10-28,19:30,Napoli,AS Roma
2018-10-29,19:30,Lazio,Inter
2018-10-31,19:30,AC Milan,Genoa
2018-11-02,19:30,Napoli,Empoli
2018-11-03,14:00,Inter,Genoa
2018-11-03,17:00,Fiorentina,AS Roma
2018-11-03,19:30,Juventus,Cagliari
2018-11-04,11:30,Lazio,Spal
2018-11-04,14:00,Chievo,Sassuolo
2018-11-04,14:00,Parma,Frosinone
2018-11-04,14:00,Sampdoria,Torino
2018-11-04,17:00,Bologna,Atalanta
2018-11-04,19:30,Udinese,AC Milan
2018-11-09,19:30,Frosinone,Fiorentina
2018-11-10,14:00,Torino,Parma
2018-11-10,17:00,Spal,Cagliari
2018-11-10,19:30,Genoa,Napoli
2018-11-11,11:30,Atalanta,Inter
2018-11-11,14:00,AS Roma,Sampdoria
2018-11-11,14:00,Chievo,Bologna
2018-11-11,14:00,Empoli,Udinese
2018-11-11,17:00,Sassuolo,Lazio
2018-11-11,19:30,AC Milan,Juventus
2018-11-24,14:00,Udinese,AS Roma
2018-11-24,17:00,Juventus,Spal
2018-11-24,19:30,Inter,Frosinone
2018-11-25,11:30,Parma,Sassuolo
2018-11-25,14:00,Bologna,Fiorentina
2018-11-25,14:00,Empoli,Atalanta
2018-11-25,14:00,Napoli,Chievo
2018-11-25,17:00,Lazio,AC Milan
2018-11-25,19:30,Genoa,Sampdoria
2018-11-26,19:30,Cagliari,Torino
2018-12-01,14:00,Spal,Empoli
2018-12-01,17:00,Fiorentina,Juventus
2018-12-01,19:30,Sampdoria,Bologna
