Date,Time,HomeTeam,AwayTeam
2018-09-14,20:00,Venezia,Benevento
2018-09-15,14:00,Ascoli,Lecce
2018-09-15,14:00,Brescia,Pescara
2018-09-15,14:00,Cittadella,Cosenza
2018-09-15,17:00,Cremonese,Spezia
2018-09-16,14:00,Salernitana,Padova
2018-09-16,14:00,Verona,Carpi
2018-09-16,20:00,Foggia,Palermo
2018-09-17,20:00,Livorno,Crotone
2018-09-21,20:00,Benevento,Salernitana
2018-09-22,14:00,Carpi,Brescia
2018-09-22,14:00,Crotone,Verona
2018-09-22,14:00,Lecce,Venezia
2018-09-22,14:00,Palermo,Perugia
2018-09-22,14:00,Pescara,Foggia
2018-09-22,14:00,Spezia,Cittadella
2018-09-22,17:00,Cosenza,Livorno
2018-09-23,20:00,Padova,Cremonese
2018-09-25,20:00,Brescia,Palermo
2018-09-25,20:00,Cittadella,Benevento
2018-09-25,20:00,Livorno,Lecce
2018-09-25,20:00,Perugia,Carpi
2018-09-25,20:00,Pescara,Crotone
2018-09-25,20:00,Salernitana,Ascoli
2018-09-25,20:00,Verona,Spezia
2018-09-26,18:00,Cremonese,Cosenza
2018-09-26,20:00,Foggia,Padova
2018-09-28,20:00,Crotone,Brescia
2018-09-29,14:00,Lecce,Cittadella
2018-09-29,14:00,Salernitana,Verona
2018-09-29,14:00,Spezia,Carpi
2018-09-29,17:00,Venezia,Livorno
2018-09-30,14:00,Ascoli,Cremonese
2018-09-30,14:00,Cosenza,Perugia
2018-09-30,20:00,Benevento,Foggia
2018-10-01,20:00,Padova,Pescara
2018-10-05,20:00,Verona,Lecce
2018-10-06,14:00,Carpi,Cosenza
2018-10-06,14:00,Cremonese,Salernitana
2018-10-06,14:00,Foggia,Ascoli
2018-10-06,14:00,Pescara,Benevento
2018-10-06,17:00,Perugia,Venezia
2018-10-07,14:00,Brescia,Padova
2018-10-07,14:00,Livorno,Spezia
2018-10-07,20:00,Palermo,Crotone
2018-10-19,20:00,Spezia,Pescara
2018-10-20,14:00,Ascoli,Carpi
2018-10-20,14:00,Cittadella,Brescia
2018-10-20,14:00,Cosenza,Foggia
2018-10-20,17:00,Crotone,Padova
2018-10-21,14:00,Salernitana,Perugia
2018-10-21,14:00,Venezia,Verona
2018-10-21,20:00,Lecce,Palermo
2018-10-22,20:00,Benevento,Livorno
2018-10-27,14:00,Benevento,Cremonese
2018-10-27,14:00,Brescia,Cosenza
2018-10-27,14:00,Crotone,Salernitana
2018-10-27,14:00,Foggia,Lecce
2018-10-27,14:00,Livorno,Ascoli
2018-10-27,14:00,Padova,Spezia
2018-10-27,14:00,Palermo,Venezia
2018-10-27,14:00,Pescara,Cittadella
2018-10-27,14:00,Verona,Perugia
2018-10-30,14:00,Ascoli,Verona
2018-10-30,14:00,Carpi,Palermo
2018-10-30,14:00,Cittadella,Foggia
2018-10-30,14:00,Cosenza,Pescara
2018-10-30,14:00,Cremonese,Venezia
2018-10-30,14:00,Lecce,Crotone
2018-10-30,14:00,Perugia,Padova
2018-10-30,14:00,Salernitana,Livorno
2018-10-30,14:00,Spezia,Benevento
2018-11-03,14:00,Benevento,Ascoli
2018-11-03,14:00,Crotone,Carpi
2018-11-03,14:00,Foggia,Brescia
2018-11-03,14:00,Livorno,Perugia
2018-11-03,14:00,Padova,Cittadella
2018-11-03,14:00,Palermo,Cosenza
2018-11-03,14:00,Pescara,Lecce
2018-11-03,14:00,Venezia,Salernitana
2018-11-03,14:00,Verona,Cremonese
2018-11-10,14:00,Ascoli,Padova
2018-11-10,14:00,Brescia,Verona
2018-11-10,14:00,Carpi,Benevento
2018-11-10,14:00,Cittadella,Venezia
2018-11-10,14:00,Cosenza,Lecce
2018-11-10,14:00,Cremonese,Livorno
2018-11-10,14:00,Palermo,Pescara
2018-11-10,14:00,Perugia,Crotone
2018-11-10,14:00,Salernitana,Spezia
2018-11-24,14:00,Benevento,Perugia
2018-11-24,14:00,Crotone,Cosenza
2018-11-24,14:00,Lecce,Cremonese
2018-11-24,14:00,Livorno,Cittadella
2018-11-24,14:00,Padova,Carpi
2018-11-24,14:00,Pescara,Ascoli
2018-11-24,14:00,Spezia,Foggia
2018-11-24,14:00,Venezia,Brescia
2018-11-24,14:00,Verona,Palermo
2018-12-01,14:00,Ascoli,Spezia
2018-12-01,14:00,Brescia,Livorno
2018-12-01,14:00,Carpi,Lecce
2018-12-01,14:00,Cittadella,Salernitana
2018-12-01,14:00,Cosenza,Padova
2018-12-01,14:00,Cremonese,Crotone
2018-12-01,14:00,Foggia,Venezia
2018-12-01,14:00,Palermo,Benevento
2018-12-01,14:00,Perugia,Pescara
2018-12-08,14:00,Benevento,Verona
2018-12-08,14:00,Cremonese,Cittadella
2018-12-08,14:00,Lecce,Perugia
2018-12-08,14:00,Livorno,Foggia
2018-12-08,14:00,Padova,Palermo
2018-12-08,14:00,Pescara,Carpi
2018-12-08,14:00,Salernitana,Brescia
2018-12-08,14:00,Spezia,Cosenza
2018-12-08,14:00,Venezia,Ascoli
