Date,Time,HomeTeam,AwayTeam
2019-08-02 00:00:00,19:00,Zwolle,Willem II
2019-08-03 00:00:00,17:30,FC Emmen,Groningen
2019-08-03 00:00:00,17:30,Vitesse,Ajax
2019-08-03 00:00:00,19:45,Twente,PSV
2019-08-03 00:00:00,19:45,Venlo,Waalwijk
2019-08-04 00:00:00,11:15,Heracles,Heerenveen
2019-08-04 00:00:00,13:30,Feyenoord,Sparta Rotterdam
2019-08-04 00:00:00,15:45,Den Haag,Utrecht
2019-08-04 00:00:00,19:00,AZ Alkmaar,Sittard
2019-08-09 00:00:00,19:00,Sparta Rotterdam,Venlo
2019-08-10 00:00:00,17:30,Ajax,FC Emmen
2019-08-10 00:00:00,17:30,Groningen,Twente
2019-08-10 00:00:00,19:45,PSV,Den Haag
2019-08-10 00:00:00,19:45,Willem II,Vitesse
2019-08-11 00:00:00,11:15,Sittard,Heracles
2019-08-11 00:00:00,13:30,Heerenveen,Feyenoord
2019-08-11 00:00:00,13:30,Waalwijk,AZ Alkmaar
2019-08-11 00:00:00,15:45,Utrecht,Zwolle
2019-08-16 00:00:00,19:00,Vitesse,Zwolle
2019-08-17 00:00:00,17:30,Den Haag,Sparta Rotterdam
2019-08-17 00:00:00,17:30,Venlo,Ajax
2019-08-17 00:00:00,19:45,FC Emmen,Heerenveen
2019-08-17 00:00:00,19:45,Heracles,PSV
2019-08-18 00:00:00,11:15,Sittard,Willem II
2019-08-18 00:00:00,13:30,Feyenoord,Utrecht
2019-08-18 00:00:00,13:30,Twente,Waalwijk
2019-08-18 00:00:00,15:45,AZ Alkmaar,Groningen
2019-08-24 00:00:00,17:30,Willem II,FC Emmen
2019-08-24 00:00:00,18:45,Heracles,Vitesse
2019-08-24 00:00:00,19:45,Heerenveen,Twente
2019-08-24 00:00:00,19:45,PSV,Groningen
2019-08-25 00:00:00,11:15,Waalwijk,Den Haag
2019-08-25 00:00:00,13:30,Utrecht,Venlo
2019-08-25 00:00:00,13:30,Zwolle,Sparta Rotterdam
2019-08-25 00:00:00,15:45,Feyenoord,AZ Alkmaar
2019-08-25 00:00:00,19:45,Ajax,Sittard
2019-08-30 00:00:00,19:00,FC Emmen,Zwolle
2019-08-31 00:00:00,17:30,Heerenveen,Sittard
2019-08-31 00:00:00,18:45,Groningen,Heracles
2019-08-31 00:00:00,18:45,Waalwijk,PSV
2019-08-31 00:00:00,19:45,Den Haag,Venlo
2019-09-01 00:00:00,11:15,Twente,Utrecht
2019-09-01 00:00:00,13:30,Sparta Rotterdam,Ajax
2019-09-01 00:00:00,13:30,Willem II,Feyenoord
2019-09-01 00:00:00,15:45,Vitesse,AZ Alkmaar
2019-09-14 00:00:00,17:30,AZ Alkmaar,Sparta Rotterdam
2019-09-14 00:00:00,17:30,PSV,Vitesse
2019-09-14 00:00:00,18:45,Venlo,Groningen
2019-09-14 00:00:00,19:45,Ajax,Heerenveen
2019-09-14 00:00:00,19:45,Utrecht,FC Emmen
2019-09-15 00:00:00,11:15,Zwolle,Waalwijk
2019-09-15 00:00:00,13:30,Feyenoord,Den Haag
2019-09-15 00:00:00,13:30,Heracles,Willem II
2019-09-15 00:00:00,15:45,Sittard,Twente
2019-09-20 00:00:00,19:00,Twente,Heracles
2019-09-21 00:00:00,17:30,Sparta Rotterdam,Waalwijk
2019-09-21 00:00:00,18:45,Groningen,Zwolle
2019-09-21 00:00:00,18:45,Willem II,Venlo
2019-09-21 00:00:00,19:45,Vitesse,Sittard
2019-09-22 00:00:00,11:15,Den Haag,AZ Alkmaar
2019-09-22 00:00:00,13:30,Heerenveen,Utrecht
2019-09-22 00:00:00,13:30,PSV,Ajax
2019-09-22 00:00:00,15:45,FC Emmen,Feyenoord
2019-09-27 00:00:00,19:00,Venlo,Heerenveen
2019-09-28 00:00:00,17:30,AZ Alkmaar,Heracles
2019-09-28 00:00:00,17:30,Zwolle,PSV
2019-09-28 00:00:00,19:45,Ajax,Groningen
2019-09-28 00:00:00,19:45,Sittard,Sparta Rotterdam
2019-09-29 00:00:00,11:15,Feyenoord,Twente
