Date,Time,HomeTeam,AwayTeam
2018-09-21,20:30,Boavista,Chaves
2018-09-22,16:30,Santa Clara,Rio Ave
2018-09-22,19:00,Marítimo,Belenenses
2018-09-22,21:00,Vitória Setúbal,FC Porto
2018-09-23,16:00,Feirense,Nacional
2018-09-23,16:00,Tondela,Moreirense
2018-09-23,18:30,Benfica,Aves
2018-09-23,20:30,Portimonense,Vitória Guimarães
2018-09-24,20:15,Sporting Braga,Sporting
2018-09-27,20:15,Chaves,Benfica
2018-09-28,20:30,FC Porto,Tondela
2018-09-29,16:30,Moreirense,Feirense
2018-09-29,19:00,Rio Ave,Boavista
2018-09-29,21:00,Sporting,Marítimo
2018-09-30,16:00,Nacional,Santa Clara
2018-09-30,18:30,Vitória Guimarães,Vitória Setúbal
2018-09-30,20:30,Belenenses,Sporting Braga
2018-10-01,20:15,Aves,Portimonense
2018-10-05,15:30,Tondela,Nacional
2018-10-05,18:00,Santa Clara,Chaves
2018-10-05,20:30,Feirense,Belenenses
2018-10-06,15:30,Vitória Setúbal,Moreirense
2018-10-06,18:00,Marítimo,Vitória Guimarães
2018-10-06,20:30,Sporting Braga,Rio Ave
2018-10-07,15:00,Boavista,Aves
2018-10-07,17:30,Benfica,FC Porto
2018-10-07,20:00,Portimonense,Sporting
2018-10-26,19:00,Nacional,Portimonense
2018-10-26,21:15,Vitória Guimarães,Sporting Braga
2018-10-27,15:30,Aves,Santa Clara
2018-10-27,18:00,Rio Ave,Chaves
2018-10-27,20:30,Belenenses,Benfica
2018-10-28,15:00,Moreirense,Marítimo
2018-10-28,15:00,Tondela,Vitória Setúbal
2018-10-28,17:30,FC Porto,Feirense
2018-10-28,20:00,Sporting,Boavista
2018-11-02,20:30,Benfica,Moreirense
2018-11-03,15:30,Portimonense,Belenenses
2018-11-03,18:00,Marítimo,FC Porto
2018-11-03,20:30,Boavista,Vitória Guimarães
2018-11-04,15:00,Feirense,Tondela
2018-11-04,17:30,Santa Clara,Sporting
2018-11-04,20:00,Sporting Braga,Vitória Setúbal
2018-11-05,19:00,Rio Ave,Nacional
2018-11-05,21:15,Chaves,Aves
2018-11-09,19:00,Moreirense,Portimonense
2018-11-09,21:15,Vitória Setúbal,Feirense
2018-11-10,15:30,Aves,Rio Ave
2018-11-10,15:30,Belenenses,Boavista
2018-11-10,18:00,Nacional,Marítimo
2018-11-10,20:30,FC Porto,Sporting Braga
2018-11-11,15:00,Vitória Guimarães,Santa Clara
2018-11-11,17:30,Tondela,Benfica
2018-11-11,20:00,Sporting,Chaves
2018-11-30,20:30,Santa Clara,Belenenses
2018-12-01,15:30,Marítimo,Vitória Setúbal
2018-12-01,18:00,Benfica,Feirense
2018-12-01,20:30,Sporting Braga,Moreirense
2018-12-02,15:00,Aves,Nacional
2018-12-02,15:00,Portimonense,Tondela
2018-12-02,17:30,Chaves,Vitória Guimarães
2018-12-02,20:00,Boavista,FC Porto
2018-12-03,20:15,Rio Ave,Sporting
2018-12-07,20:30,FC Porto,Portimonense
2018-12-08,15:30,Belenenses,Chaves
2018-12-08,18:00,Tondela,Sporting Braga
2018-12-08,20:30,Vitória Setúbal,Benfica
2018-12-09,15:00,Moreirense,Santa Clara
2018-12-09,15:00,Nacional,Boavista
2018-12-09,17:30,Vitória Guimarães,Rio Ave
2018-12-09,20:00,Sporting,Aves
2018-12-10,20:15,Feirense,Marítimo
2018-12-16,15:00,Santa Clara,FC Porto
2018-12-16,16:00,Aves,Vitória Guimarães
2018-12-16,16:00,Boavista,Tondela
2018-12-16,16:00,Sporting Braga,Feirense
2018-12-16,16:00,Chaves,Moreirense
2018-12-16,16:00,Marítimo,Benfica
2018-12-16,16:00,Portimonense,Vitória Setúbal
2018-12-16,16:00,Rio Ave,Belenenses
2018-12-16,16:00,Sporting,Nacional
2018-12-23,16:00,Belenenses,Aves
2018-12-23,16:00,Benfica,Sporting Braga
2018-12-23,16:00,FC Porto,Rio Ave
2018-12-23,16:00,Feirense,Portimonense
2018-12-23,16:00,Vitória Guimarães,Sporting
2018-12-23,16:00,Moreirense,Boavista
2018-12-23,16:00,Nacional,Chaves
2018-12-23,16:00,Vitória Setúbal,Santa Clara
2018-12-23,16:00,Tondela,Marítimo
2019-01-02,15:00,Santa Clara,Tondela
2019-01-02,16:00,Aves,FC Porto
2019-01-02,16:00,Boavista,Vitória Setúbal
2019-01-02,16:00,Sporting Braga,Marítimo
2019-01-02,16:00,Chaves,Feirense
2019-01-02,16:00,Nacional,Vitória Guimarães
2019-01-02,16:00,Portimonense,Benfica
2019-01-02,16:00,Rio Ave,Moreirense
2019-01-02,16:00,Sporting,Belenenses
2019-01-06,16:00,Belenenses,Vitória Guimarães
2019-01-06,16:00,Benfica,Rio Ave
2019-01-06,16:00,Sporting Braga,Boavista
2019-01-06,16:00,FC Porto,Nacional
2019-01-06,16:00,Feirense,Santa Clara
2019-01-06,16:00,Marítimo,Portimonense
2019-01-06,16:00,Moreirense,Aves
2019-01-06,16:00,Vitória Setúbal,Chaves
2019-01-06,16:00,Tondela,Sporting
2019-01-12,16:00,Aves,Feirense
2019-01-12,16:00,Boavista,Marítimo
2019-01-12,16:00,Chaves,Tondela
2019-01-12,16:00,Vitória Guimarães,Moreirense
2019-01-12,16:00,Nacional,Belenenses
2019-01-12,16:00,Portimonense,Sporting Braga
2019-01-12,16:00,Rio Ave,Vitória Setúbal
2019-01-12,16:00,Santa Clara,Benfica
2019-01-12,16:00,Sporting,FC Porto
