Date,Time,HomeTeam,AwayTeam
2019-08-18 00:00:00,19:00,Deportivo Alavés,Levante
2019-08-18 00:00:00,19:00,Athletic Club,Barcelona
2019-08-18 00:00:00,19:00,Atlético Madrid,Getafe
2019-08-18 00:00:00,19:00,Real Betis,Valladolid
2019-08-18 00:00:00,19:00,Celta de Vigo,Real Madrid
2019-08-18 00:00:00,19:00,Espanol,Sevilla
2019-08-18 00:00:00,19:00,Leganés,Osasuna
2019-08-18 00:00:00,19:00,Mallorca,Eibar
2019-08-18 00:00:00,19:00,Valencia,Real Sociedad
2019-08-18 00:00:00,19:00,Villarreal,Granada CF
2019-08-25 00:00:00,19:00,Deportivo Alavés,Espanol
2019-08-25 00:00:00,19:00,Barcelona,Real Betis
2019-08-25 00:00:00,19:00,Celta de Vigo,Valencia
2019-08-25 00:00:00,19:00,Getafe,Athletic Club
2019-08-25 00:00:00,19:00,Granada CF,Sevilla
2019-08-25 00:00:00,19:00,Leganés,Atlético Madrid
2019-08-25 00:00:00,19:00,Levante,Villarreal
2019-08-25 00:00:00,19:00,Mallorca,Real Sociedad
2019-08-25 00:00:00,19:00,Osasuna,Eibar
2019-08-25 00:00:00,19:00,Real Madrid,Valladolid
2019-09-01 00:00:00,19:00,Athletic Club,Real Sociedad
2019-09-01 00:00:00,19:00,Atlético Madrid,Eibar
2019-09-01 00:00:00,19:00,Real Betis,Leganés
2019-09-01 00:00:00,19:00,Espanol,Granada CF
2019-09-01 00:00:00,19:00,Getafe,Deportivo Alavés
2019-09-01 00:00:00,19:00,Levante,Valladolid
2019-09-01 00:00:00,19:00,Osasuna,Barcelona
2019-09-01 00:00:00,19:00,Sevilla,Celta de Vigo
2019-09-01 00:00:00,19:00,Valencia,Mallorca
2019-09-01 00:00:00,19:00,Villarreal,Real Madrid
2019-09-15 00:00:00,19:00,Deportivo Alavés,Sevilla
2019-09-15 00:00:00,19:00,Barcelona,Valencia
2019-09-15 00:00:00,19:00,Real Betis,Getafe
2019-09-15 00:00:00,19:00,Celta de Vigo,Granada CF
2019-09-15 00:00:00,19:00,Eibar,Espanol
2019-09-15 00:00:00,19:00,Leganés,Villarreal
2019-09-15 00:00:00,19:00,Mallorca,Athletic Club
2019-09-15 00:00:00,19:00,Real Madrid,Levante
2019-09-15 00:00:00,19:00,Real Sociedad,Atlético Madrid
2019-09-15 00:00:00,19:00,Valladolid,Osasuna
2019-09-22 00:00:00,19:00,Athletic Club,Deportivo Alavés
2019-09-22 00:00:00,19:00,Atlético Madrid,Celta de Vigo
2019-09-22 00:00:00,19:00,Espanol,Real Sociedad
2019-09-22 00:00:00,19:00,Getafe,Mallorca
2019-09-22 00:00:00,19:00,Granada CF,Barcelona
2019-09-22 00:00:00,19:00,Levante,Eibar
2019-09-22 00:00:00,19:00,Osasuna,Real Betis
2019-09-22 00:00:00,19:00,Sevilla,Real Madrid
2019-09-22 00:00:00,19:00,Valencia,Leganés
2019-09-22 00:00:00,19:00,Villarreal,Valladolid
2019-09-25 00:00:00,19:00,Barcelona,Villarreal
2019-09-25 00:00:00,19:00,Real Betis,Levante
2019-09-25 00:00:00,19:00,Celta de Vigo,Espanol
2019-09-25 00:00:00,19:00,Eibar,Sevilla
2019-09-25 00:00:00,19:00,Leganés,Athletic Club
2019-09-25 00:00:00,19:00,Mallorca,Atlético Madrid
2019-09-25 00:00:00,19:00,Real Madrid,Osasuna
2019-09-25 00:00:00,19:00,Real Sociedad,Deportivo Alavés
2019-09-25 00:00:00,19:00,Valencia,Getafe
2019-09-25 00:00:00,19:00,Valladolid,Granada CF
2019-09-29 00:00:00,19:00,Deportivo Alavés,Mallorca
2019-09-29 00:00:00,19:00,Athletic Club,Valencia
2019-09-29 00:00:00,19:00,Atlético Madrid,Real Madrid
2019-09-29 00:00:00,19:00,Eibar,Celta de Vigo
2019-09-29 00:00:00,19:00,Espanol,Valladolid
2019-09-29 00:00:00,19:00,Getafe,Barcelona
2019-09-29 00:00:00,19:00,Granada CF,Leganés
2019-09-29 00:00:00,19:00,Levante,Osasuna
2019-09-29 00:00:00,19:00,Sevilla,Real Sociedad
2019-09-29 00:00:00,19:00,Villarreal,Real Betis
2019-10-06 00:00:00,19:00,Barcelona,Sevilla
2019-10-06 00:00:00,19:00,Real Betis,Eibar
2019-10-06 00:00:00,19:00,Celta de Vigo,Athletic Club
2019-10-06 00:00:00,19:00,Leganés,Levante
2019-10-06 00:00:00,19:00,Mallorca,Espanol
2019-10-06 00:00:00,19:00,Osasuna,Villarreal
2019-10-06 00:00:00,19:00,Real Madrid,Granada CF
2019-10-06 00:00:00,19:00,Real Sociedad,Getafe
2019-10-06 00:00:00,19:00,Valencia,Deportivo Alavés
2019-10-06 00:00:00,19:00,Valladolid,Atlético Madrid
2019-10-20 00:00:00,19:00,Deportivo Alavés,Celta de Vigo
2019-10-20 00:00:00,19:00,Athletic Club,Valladolid
2019-10-20 00:00:00,19:00,Atlético Madrid,Valencia
2019-10-20 00:00:00,19:00,Eibar,Barcelona
2019-10-20 00:00:00,19:00,Espanol,Villarreal
2019-10-20 00:00:00,19:00,Getafe,Leganés
2019-10-20 00:00:00,19:00,Granada CF,Osasuna
2019-10-20 00:00:00,19:00,Mallorca,Real Madrid
2019-10-20 00:00:00,19:00,Real Sociedad,Real Betis
2019-10-20 00:00:00,19:00,Sevilla,Levante
2019-10-27 00:00:00,19:00,Atlético Madrid,Athletic Club
2019-10-27 00:00:00,19:00,Barcelona,Real Madrid
2019-10-27 00:00:00,19:00,Celta de Vigo,Real Sociedad
2019-10-27 00:00:00,19:00,Granada CF,Real Betis
2019-10-27 00:00:00,19:00,Leganés,Mallorca
2019-10-27 00:00:00,19:00,Levante,Espanol
2019-10-27 00:00:00,19:00,Osasuna,Valencia
2019-10-27 00:00:00,19:00,Sevilla,Getafe
2019-10-27 00:00:00,19:00,Valladolid,Eibar
2019-10-27 00:00:00,19:00,Villarreal,Deportivo Alavés
2019-10-30 00:00:00,19:00,Deportivo Alavés,Atlético Madrid
2019-10-30 00:00:00,19:00,Athletic Club,Espanol
2019-10-30 00:00:00,19:00,Barcelona,Valladolid
2019-10-30 00:00:00,19:00,Real Betis,Celta de Vigo
2019-10-30 00:00:00,19:00,Eibar,Villarreal
2019-10-30 00:00:00,19:00,Getafe,Granada CF
2019-10-30 00:00:00,19:00,Mallorca,Osasuna
2019-10-30 00:00:00,19:00,Real Madrid,Leganés
2019-10-30 00:00:00,19:00,Real Sociedad,Levante
2019-10-30 00:00:00,19:00,Valencia,Sevilla
2019-11-03 00:00:00,19:00,Celta de Vigo,Getafe
2019-11-03 00:00:00,19:00,Espanol,Valencia
2019-11-03 00:00:00,19:00,Granada CF,Real Sociedad
2019-11-03 00:00:00,19:00,Leganés,Eibar
2019-11-03 00:00:00,19:00,Levante,Barcelona
2019-11-03 00:00:00,19:00,Osasuna,Deportivo Alavés
2019-11-03 00:00:00,19:00,Real Madrid,Real Betis
2019-11-03 00:00:00,19:00,Sevilla,Atlético Madrid
2019-11-03 00:00:00,19:00,Valladolid,Mallorca
2019-11-03 00:00:00,19:00,Villarreal,Athletic Club
