Date,Time,HomeTeam,AwayTeam
2019-01-11,19:45,Leeds United,Derby County
2019-01-12,15:00,Birmingham City,Middlesbrough
2019-01-12,15:00,Brentford,Stoke
2019-01-12,15:00,Bristol City,Bolton Wanderers
2019-01-12,15:00,Hull City,Sheffield Wednesday
2019-01-12,15:00,Ipswich Town,Rotherham
2019-01-12,15:00,Preston North End,Swansea
2019-01-12,15:00,Reading,Nottingham Forest
2019-01-12,15:00,Sheffield United,Queens Park Rangers
2019-01-12,15:00,West Brom,Norwich City
2019-01-12,15:00,Wigan,Aston Villa
2019-01-12,17:30,Millwall,Blackburn
