Date,Time,HomeTeam,AwayTeam
2018-12-21 00:00:00,20:00,Wolverhampton Wanderers,Liverpool
2018-12-22 00:00:00,12:30,Arsenal,Burnley
2018-12-22 00:00:00,15:00,Bournemouth,Brighton & Hove Albion
2018-12-22 00:00:00,15:00,Chelsea,Leicester City
2018-12-22 00:00:00,15:00,Huddersfield Town,Southampton
2018-12-22 00:00:00,15:00,Manchester City,Crystal Palace
2018-12-22 00:00:00,15:00,Newcastle United,Fulham
2018-12-22 00:00:00,15:00,West Ham United,Watford
2018-12-22 00:00:00,17:30,Cardiff,Manchester Utd
2018-12-23 00:00:00,16:00,Everton,Tottenham Hotspur
