Date,Time,HomeTeam,AwayTeam
2018-10-27,14:00,Benevento,Cremonese
2018-10-27,14:00,Brescia,Cosenza
2018-10-27,14:00,Crotone,Salernitana
2018-10-27,14:00,Foggia,Lecce
2018-10-27,14:00,Livorno,Ascoli
2018-10-27,14:00,Padova,Spezia
2018-10-27,14:00,Palermo,Venezia
2018-10-27,14:00,Pescara,Cittadella
2018-10-27,14:00,Verona,Perugia
2018-10-30,14:00,Ascoli,Verona
2018-10-30,14:00,Carpi,Palermo
2018-10-30,14:00,Cittadella,Foggia
2018-10-30,14:00,Cosenza,Pescara
2018-10-30,14:00,Cremonese,Venezia
2018-10-30,14:00,Lecce,Crotone
2018-10-30,14:00,Perugia,Padova
2018-10-30,14:00,Salernitana,Livorno
2018-10-30,14:00,Spezia,Benevento
