Date,Time,HomeTeam,AwayTeam
2019-01-02 00:00:00,16:00,Santa Clara,Tondela
2019-01-02 00:00:00,18:00,Boavista,Vitória Setúbal
2019-01-02 00:00:00,18:00,Sporting Braga,Marítimo
2019-01-02 00:00:00,18:00,Nacional,Vitória Guimarães
2019-01-02 00:00:00,20:15,Portimonense,Benfica
2019-01-02 00:00:00,20:15,Rio Ave,Moreirense
2019-01-03 00:00:00,16:00,Chaves,Feirense
2019-01-03 00:00:00,18:00,Sporting,Belenenses
2019-01-03 00:00:00,20:15,Aves,FC Porto
2019-01-05 00:00:00,20:30,Marítimo,Portimonense
2019-01-06 00:00:00,15:00,Belenenses,Vitória Guimarães
2019-01-06 00:00:00,15:00,Feirense,Santa Clara
2019-01-06 00:00:00,15:00,Vitória Setúbal,Chaves
2019-01-06 00:00:00,17:30,Benfica,Rio Ave
2019-01-06 00:00:00,20:00,Sporting Braga,Boavista
