Date,Time,HomeTeam,AwayTeam
2018-12-21 00:00:00,18:00,Tenerife,Granada CF
2018-12-21 00:00:00,20:00,Mallorca,Gimnastic
2018-12-22 00:00:00,12:00,Lugo,Gijon
2018-12-22 00:00:00,15:00,R. Oviedo,Malaga
2018-12-22 00:00:00,17:00,Zaragoza,Extremadura UD
2018-12-22 00:00:00,19:00,Elche,Almeria
2018-12-22 00:00:00,19:30,Cordoba,Las Palmas
2018-12-22 00:00:00,19:45,Cadiz CF,Dep. La Coruna
2018-12-23 00:00:00,11:00,Reus Deportiu,Osasuna
2018-12-23 00:00:00,15:00,Albacete,Rayo Majadahonda
2018-12-23 00:00:00,17:00,Alcorcon,Numancia
